# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
619,PR8A,-,2,-,TCK/SCLK/PMU_EXT_CLK,True_OF_PR8B,-,G16,G10
620,PR8B,-,2,-,PMU_WAKEUPN/SD11/S4_OUT,Comp_OF_PR8A,-,G17,G11
624,PR7A,-,2,-,SD3/SDA/USER_SDA/S4_IN,True_OF_PR7B,-,F15,F11
625,PR7B,-,2,-,SD2/SCL/USER_SCL/S3_IN,Comp_OF_PR7A,-,G15,F12
631,PR6A,-,2,-,EIO,True_OF_PR6B,-,E19,G9
632,PR6B,-,2,-,TDO/SSO/SD1/S3_OUT,Comp_OF_PR6A,-,E20,F10
635,PR5A,-,2,-,SD7/PCLKT2_2,True_OF_PR5B,-,E17,E15
636,PR5B,-,2,-,TDI/SSI/SD0/S5_OUT,Comp_OF_PR5A,-,E18,F16
643,PR4A,-,2,-,SD6/PCLKT2_1/S6_OUT,True_OF_PR4B,-,E16,E13
644,PR4B,-,2,-,TMS/SCSN/S5_IN,Comp_OF_PR4A,-,F16,E14
647,PR3A,-,2,-,SD5/PCLKT2_0/S7_OUT,True_OF_PR3B,-,D19,D16
648,PR3B,-,2,-,SD10/S6_IN,Comp_OF_PR3A,-,D20,E16
654,JTAG_EN,-,2,-,-,-,-,B20,B16
655,PR2B,-,2,-,SD4/S7_IN,-,-,C20,C16
674,PT62A,-,1,-,-,True_OF_PT62B,-,A17,-
675,PT62B,-,1,-,-,Comp_OF_PT62A,-,A18,-
678,PT60A,-,1,-,-,True_OF_PT60B,-,B16,-
679,PT60B,-,1,-,-,Comp_OF_PT60A,-,B17,-
682,PT58A,-,1,-,-,True_OF_PT58B,-,C16,C15
683,PT58B,-,1,-,-,Comp_OF_PT58A,-,D16,C14
689,PT57A,-,1,-,-,True_OF_PT57B,-,D15,B15
690,PT57B,-,1,-,-,Comp_OF_PT57A,-,E15,B14
693,PT56A,-,1,-,-,True_OF_PT56B,-,B15,D15
694,PT56B,-,1,-,-,Comp_OF_PT56A,-,C15,D14
697,PT55A,-,1,-,-,True_OF_PT55B,-,A15,B13
698,PT55B,-,1,-,-,Comp_OF_PT55A,-,A16,C12
701,PT53A,-,1,-,PCLKT1_1,True_OF_PT53B,-,E14,A15
702,PT53B,-,1,-,-,Comp_OF_PT53A,-,F14,A14
707,PT52A,-,1,-,PCLKT1_0,True_OF_PT52B,-,A14,D12
708,PT52B,-,1,-,-,Comp_OF_PT52A,-,B14,E12
713,PT51A,-,1,-,DONE,True_OF_PT51B,-,F13,A13
714,PT51B,-,1,-,MCSNO/MSDO,Comp_OF_PT51A,-,G13,B12
735,PT43A,-,1,-,INITN,True_OF_PT43B,-,E13,A11
736,PT43B,-,1,-,PROGRAMN,Comp_OF_PT43A,-,F12,A12
747,PT41A,-,1,-,-,True_OF_PT41B,-,C13,D11
748,PT41B,-,1,-,-,Comp_OF_PT41A,-,D13,E11
751,PT39A,-,1,-,-,True_OF_PT39B,-,A13,B11
752,PT39B,-,1,-,-,Comp_OF_PT39A,-,B13,C11
757,PT37A,-,1,-,-,True_OF_PT37B,-,G12,A10
758,PT37B,-,1,-,-,Comp_OF_PT37A,-,H12,B10
